adminAction,adminActionState,argument_month,caseOriginState,caseOrigin_group,caseSourceState,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawMinor,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitionerState,petitioner_group,respondentState,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days
,,1,6.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,0,0,0,1,80180.0,Economic Activity,Economic Activity_via_Writ,Writ,35 U.S.C. § 33,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,313.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
,,10,52.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,0,48,11,1946,Merits/Other,1,0,0,0,1,0,1,1,10500.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 398,600.0,Infrequent Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,8,,Individual,,US Govt,1946,0.0,Criminal Procedure_3Judge_0.0,404.0
66.0,,11,42.0,FedDistCt,42.0,FedDistCt,Not Applicable / Denied,Vinson,0.0,0,48,11,1946,Merits/Other,1,1,0,0,0,0,1,1,80250.0,Economic Activity,Economic Activity_via_Appeal,Appeal,,207.0,Const Amendment,0.0,2.0,Unknown/Missing,LC_Agree_Liberal,1301,1,,Other/Unknown,,US Govt,1946,1.0,Economic Activity_3Judge_1.0,375.0
